"Monto";"Cantidad";"level3";"Proveedor";"Municipios"
721.406;2;Ensaladas preparadas;"""RED OFFICE SUR LTDA.""";Municipalidad de Collipulli
1.305.088;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Independencia
324.496;1;Ensaladas preparadas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Independencia
602.346;2;Aceites vegetales y grasas comestibles;"""HUERTOS DEL SUR""";Municipalidad de Olivar
338.986;2;Bebidas y comidas infantiles;"""www.coffebreak.cl -- Facilitador de eventos""";Municipalidad de Chiguayante
39.138;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUPERMERCADO LA VERBENA""";Municipalidad de Macúl
252.267;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SORAYA ANICH ALLEL""";Municipalidad de Ovalle
212.376;1;Empanadas, tartas y pies;"""Miguel Edgardo Manuel""";Municipalidad de Lota
406.193;1;Aceites vegetales y grasas comestibles;"""Punto Rabie""";Municipalidad de Curicó
1.075.306;2;Empanadas, tartas y pies;"""Blanca Guerrero""";Municipalidad de Palmilla
1.133.536;7;Aceites vegetales y grasas comestibles;"""Luis Alberto""";Municipalidad de Longaví
31.391.073;21;Aceites vegetales y grasas comestibles;"""Supermercado San Roberto""";Municipalidad de Navidad
374.290;1;Grasas y aceites animales comestibles;"""Comercializadora Cabello Ltda.""";Municipalidad de Lampa
261.791;1;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Lota
2.861.884;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de Huasco
211.957;1;Ensaladas preparadas;"""DIMERC S.A.""";Municipalidad de Algarrobo
543.842;3;Empanadas, tartas y pies;"""Rosa Barahona Calderon""";Municipalidad de Rinconada
269.230;1;Aceites vegetales y grasas comestibles;"""OMAR ALEJANDRO""";Municipalidad de Cauquenes
1.060.416;6;Aceites vegetales y grasas comestibles;"""Super-Quemchi""";Municipalidad de Ranquil
202.861;1;Aceites vegetales y grasas comestibles;"""Victor Rosales Comercializadora E.I.R.L""";Municipalidad de Tomé
2.233.511;9;Aceites vegetales y grasas comestibles;"""DIMERC S.A.""";Municipalidad de Concón
280.382;1;Bebidas y comidas infantiles;"""San José""";Municipalidad de Peralillo
267.548;1;Empanadas, tartas y pies;"""SUPERMERCADO MARIA CECILIA TORRES ROMERO E.I.R.L.""";Municipalidad de Cunco
4.368.027;5;Empanadas, tartas y pies;"""www.coffebreak.cl -- Facilitador de eventos""";Municipalidad de Coronel
478.231;6;Grasas y aceites animales comestibles;"""JUAN ENRIQUE""";Municipalidad de Marchigüe
83.376;1;Empanadas, tartas y pies;"""Supermercado Catalán""";Municipalidad de Requínoa
274.127;1;Acompañamientos preparados;"""paraiso 2""";Municipalidad de Villa Alegre
1.107.967;4;Aceites vegetales y grasas comestibles;"""COMERCIAL WILSON RIVERA DIAZ E HIJAS LTDA.""";Municipalidad de Vicuña
98.647;1;Aceites vegetales y grasas comestibles;"""PRISA S.A.""";Municipalidad de Buín
3.925.118;1;Acompañamientos preparados;"""ANDRO DAVID LAFUENTE FERNANDEZ""";Municipalidad de Colchane
216.104;1;Acompañamientos preparados;"""MARISOL DEL CARMEN""";Municipalidad de San Nicolás
392.918;1;Bebidas y comidas infantiles;"""NOLBERTO""";Municipalidad de Pozo al Monte
1.214.629;5;Aceites vegetales y grasas comestibles;"""Feryval""";Municipalidad de Futaleufú
714.370;1;Aceites vegetales y grasas comestibles;"""antu newen""";Municipalidad de Pucón
1.262.591;1;Acompañamientos preparados;"""sandra carmen""";Municipalidad de Melipeuco
2.368.048;16;Aceites vegetales y grasas comestibles;"""Pilar""";Municipalidad de Coquimbo
2.029.642;7;Bebidas y comidas infantiles;"""Distribuidora Glase""";Municipalidad de Calama
5.077.666;24;Bebidas y comidas infantiles;"""COMERCIAL AMAR HERMANOS Y CIA""";Municipalidad de Victoria
1.501.174;3;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Comercial Brich""";Municipalidad de Pozo al Monte
527.085;1;Empanadas, tartas y pies;"""SUPERMERCADO LA VERBENA""";Municipalidad de Curacaví
792.388;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""Redoffice""";Municipalidad de Chañaral
506.002;5;Acompañamientos preparados;"""claudiomaldonadoc""";Municipalidad de Cochamó
7.512.279;4;Aceites vegetales y grasas comestibles;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Renca
66.876;1;Aceites vegetales y grasas comestibles;"""DISTRIBUIDORA REGIONAL VALDIVIA LTDA.""";Municipalidad de Mariquina
1.070.154;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""SUSAN CATERINA""";Municipalidad de La Serena
168.417;1;Empanadas, tartas y pies;"""eventus""";Municipalidad de Puente Alto
129.120;1;Empanadas, tartas y pies;"""FERNANDO""";Municipalidad de Trehuaco
216.048;2;Empanadas, tartas y pies;"""MARLEN ANDREA""";Municipalidad de Peralillo
305.849;1;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""RED OFFICE SUR LTDA.""";Municipalidad de Collipulli
244.216;1;Ensaladas preparadas;"""nickcia""";Municipalidad de Puqueldón
165.521;2;Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas;"""COMERCIAL SOLO FRESCO SA""";Municipalidad de Villa Alemana
